,probesets,sym,chrom
519,1481_at,MMP12,11
520,1482_g_at,MMP12,11
521,1483_at,CDH4,20
522,1484_at,CDH8,16
523,1485_at,EPHA7,6
524,1486_at,POLR2J,7
525,1487_at,ESRRA,11
526,1488_at,PTPRK,6
527,1489_s_at,MYCL1,1
528,148_at,ELL2,5
529,1490_at,MYCL1,1
530,1491_at,PTX3,3
531,1492_f_at,CYP2A7,19
532,1493_r_at,CYP2A6,19
533,1494_f_at,CYP2A6,19
534,1495_at,LTBP1,2
535,1496_at,PTPRA,20
536,1497_at,LTBR,12
537,1498_at,ZAP70,2
538,1499_at,FNTA,8
539,149_at,DDX39,19
540,1500_at,WT1,11
541,1501_at,IGF1,12
542,1503_at,BRCA2,13
543,1504_s_at,FGF12,3
544,1505_at,TYMS,18
545,1506_at,IL2RG,X
546,1507_s_at,EDNRA,4
547,1508_at,ITGA9,3
548,1509_at,MMP16,8
549,150_at,MAGI1,3
550,1510_g_at,MMP16,8
551,1511_at,SHC3,9
552,1512_at,DYRK1A,21
553,1513_at,KLK3,19
554,1514_g_at,KLK3,19
555,1515_at,FEN1,11
556,1516_g_at,FEN1,11
557,1517_at,CYP2F1,19
558,1518_at,ETS1,11
559,1519_at,ETS2,21
560,151_s_at,,
561,1520_s_at,IL1B,2
562,1521_at,NME1,17
563,1522_at,TNK1,17
564,1523_g_at,TNK1,17
565,1524_at,RAGE,14
566,1525_s_at,FGF8,10
567,1526_i_at,FGF8,10
568,1527_s_at,N4BP2L1,13
569,1528_at,CG030,13
570,1529_at,FRY,13
571,152_f_at,,
572,1530_g_at,FRY,13
573,1531_at,N4BP2L2,13
574,1532_g_at,N4BP2L2,13
575,1533_at,RAD50,5
576,1534_at,IL12RB2,1
577,1535_at,FOXN3,14
578,1536_at,CDC6,17
579,1537_at,EGFR,7
580,1538_s_at,IL2,4
581,1539_at,NRAS,1
582,153_f_at,HIST1H2BJ,6
583,1540_f_at,IFNA5,9
584,1541_f_at,IFNA6,9
585,1542_at,EGF,4
586,1543_at,MAP2K6,17
587,1544_at,BLM,15
588,1545_g_at,FLT1,13
589,1546_at,HYAL1,3
590,1547_at,JAK3,19
591,1548_s_at,IL10,1
592,1549_s_at,,
593,154_at,TAF1,X
594,1550_at,MRPL28,16
595,1551_g_at,MRPL28,16
596,1552_i_at,CYP2A13,19
597,1553_r_at,CYP2A13,19
598,1554_f_at,CYP2A13,19
599,1555_f_at,CYP2A7,19
600,1556_at,RBM5,3
601,1557_at,PAK1,11
602,1558_g_at,PAK1,11
603,1559_at,PAK2,3
604,155_s_at,SUMO1,2
605,1560_g_at,PAK2,3
606,1561_at,DUSP8,11
607,1562_g_at,DUSP8,11
608,1563_s_at,TNFRSF1A,12
609,1564_at,AKT1,14
610,1565_s_at,GRB2,17
611,1566_at,NCAM1,11
612,1567_at,FLT1,13
613,1568_s_at,IFNAR2,21
614,1569_r_at,IL10RB,21
615,156_s_at,GPR19,12
616,1570_f_at,RB1,13
617,1571_f_at,RB1,13
618,1572_s_at,INSR,19
619,1573_at,PDGFB,22
620,1574_s_at,IL4,5
621,1575_at,ABCB1,7
622,1576_g_at,,
623,1577_at,AR,X
624,1578_g_at,AR,X
625,1579_at,OSM,22
626,157_at,PRAME,22
627,1580_f_at,IFNA4,9
628,1581_s_at,TOP2B,3
629,1582_at,CEACAM5,19
630,1583_at,TNFRSF1B,1
631,1584_at,CDC25C,5
632,1585_at,ERBB3,12
633,1586_at,IGFBP3,7
634,1587_at,RARG,12
635,1588_at,IFNAR2,21
636,1589_s_at,IFNAR2,21
637,158_at,DNAJB4,1
638,1590_s_at,HRAS,11
639,1591_s_at,,
640,1592_at,TOP2A,17
641,1593_at,FGF2,4
642,1594_at,POLR2C,16
643,1595_at,TEK,9
644,1596_g_at,TEK,9
645,1597_at,GAS6,13
646,1598_g_at,GAS6,13
647,1599_at,CDKN3,14
648,159_at,VEGFC,4
649,1600_at,TXK,4
650,1601_s_at,IGFBP5,2
651,1602_at,PRKCI,3
652,1603_g_at,PRKCI,3
653,1604_at,EPHA5,4
654,1605_g_at,EPHA5,4
655,1606_at,EPHA4,2
656,1607_at,CDKN2B,9
657,1608_at,MET,7
658,1609_g_at,MET,7
659,160_at,STAM,10
660,1610_s_at,DHFR,5
661,1611_s_at,IFNG,12
662,1612_s_at,JUND,19
663,1613_s_at,USP6,17
664,1614_s_at,USP6,17
665,1615_at,BCL2L1,20
666,1616_at,FGF9,13
667,1617_at,TRIM25,17
668,1618_at,CYP19A1,15
669,1619_g_at,CYP19A1,15
670,161_at,RAB9P1,5
671,1620_at,CDH6,5
672,1621_at,CDC5L,6
673,1622_at,MAP2K3,17
674,1623_s_at,FER,5
675,1624_at,RAP1GDS1,4
676,1625_at,IGF1,12
677,1626_at,MUSK,9
678,1627_at,,
679,1628_at,,
680,1629_s_at,PTPN13,4
681,162_at,USP11,X
682,1630_s_at,SYK,9
683,1631_at,,
684,1632_at,,
685,1633_g_at,PIM2,X
686,1634_s_at,TGFB1,19
687,1635_at,ABL1,9
688,1636_g_at,ABL1,9
689,1637_at,MAPKAPK3,3
690,1638_at,ETV6,12
691,1639_s_at,E2F5,8
692,163_at,DVL1,1
693,1640_at,ST13,22
694,1641_s_at,DDB1,11
695,1642_at,MTA1,14
